Sno,Name,Unit,Created Date,Service,Category,Enable Asset Tracking,Notes,Commodity Code,Sub CommodityCode,Std cost updated,Product Line Segment,Foreign Name,GL Account Code
1,HD-659 1833L,Each,2024-07-14T12:54:11Z,,"Alumina, Brown Fused",TRUE,,Chemicals products (W050701),Advert. agency fees (X020101),214.82,,,
1,BTHRM-306 1796L,Box,2024-08-17T01:35:01Z,,"Silica, High-Purity",FALSE,,Graphic chain pack design (X030101),APO Services (V050401),829.911,,,
3,BTHRM-498 2857ML,Carton,2024-08-26T13:05:19Z,,Graphite Powder,TRUE,,Office Supplies (W050801),Paper products (X010201),737.46,,,
4,CLNR-766 1429KG,Box,2024-08-26T13:05:19Z,,Silicon Carbide,TRUE,,Cement (C020301),,550.69,,,
5,DISINFECT-601 179ML,Box,2024-10-16T14:13:00Z,,"Steel, Galvanized Sheets",TRUE,,Vehicle Maintenance (M030501),Cement (C020301),989.89,,,
6,BTHRM-781 102L,Carton,2024-08-04T20:19:46Z,,Aluminum Ingots,TRUE,,,Cement (C020301),215.03,,,
7,HD-236 532ML,Carton,2024-10-16T22:47:09Z,,Copper Cathodes,FALSE,,Sterile Gloves (M070101),,853.92,,,
8,BTHRM-608 1733L,Each,2024-02-07T12:31:32Z,,Polypropylene Resin,FALSE,,Advert. agency fees (X020101),,88.445,,,
9,AC-413 1593ML,Box,2024-03-28T17:20:14Z,,Polyester Fiber,FALSE,,APO Services (V050401),,735.79,,,
10,LX-625 1326GAL,Carton,2024-10-15T09:43:18Z,,Activated Carbon,TRUE,,Paper products (X010201),,47.83,,,
11,DISINFECT-201 2759L,Box,2024-09-28T02:00:01Z,,,TRUE,,Medical Supplies (M060101),Sterile Gloves (M070101),547.32,,,
12,LX-364 2604GAL,Each,2024-11-11T16:36:18Z,,,TRUE,,Construction Materials (C040201),Paper products (X010201),853.66,,,
13,LX-832 1860ML,Each,2024-08-04T10:55:09Z,,,TRUE,,Chemicals products (W050701),Advert. agency fees (X020101),996.53,,,
14,CLNR-677 29ML,Box,2024-04-09T13:04:44Z,,,TRUE,,Graphic chain pack design (X030101),APO Services (V050401),897.55,,,
15,SN-939 1902L,Carton,2024-04-17T05:46:22Z,,Plastic Granules,TRUE,,,Paper products (X010201),638.512,,,
16,BK-120 1873L,Box,2024-08-26T13:05:19Z,,Rubber Compounds,TRUE,,Cement (C020301),,862.08,,,
16,HD-659 1833L,Box,2024-08-26T13:05:19Z,,Abrasive Grinding Wheels,FALSE,,Vehicle Maintenance (M030501),Cement (C020301),782.93,,,
18,BTHRM-337 1484KG,Carton,2024-03-29T16:42:50Z,,Industrial Paints,FALSE,,IT Equipment (T020101),Cement (C020301),509.44,,,
19,AC-947 12ML,Carton,2024-02-25T17:13:24Z,,Wood Pellets,FALSE,,Sterile Gloves (M070101),,902.48,,,
20,PRD-269 2236ML,Each,2024-04-24T16:39:12Z,,PVC Pipes,TRUE,,Advert. agency fees (X020101),,802.77,,,
21,SN-165 1083OZ,Box,2024-10-17T11:18:16Z,,Insulation Foam,FALSE,,APO Services (V050401),,964.78,,,
